Player,3P,2P,PTS,Salary
Ryan Anderson,0.5,0.5,2.5,500000
Ryan Arcidiacono,0.9,0.5,4.2,3000000
Ryan Broekhoff,1.2,0.1,4.2,1443842
Sekou Doumbouya,0.8,1.7,6.8,3285120
Semi Ojeleye,0.5,0.5,3.0,1618520
Serge Ibaka,1.3,5.3,16.1,23271604
Seth Curry,2.1,2.0,11.5,7441860
Shabazz Napier,1.4,1.8,9.7,1882867
Shabazz Napier,1.3,1.9,9.6,1882867
Shabazz Napier,1.8,1.3,10.0,1882867
Shai Gilgeous-Alexander,1.3,5.8,19.5,3952920
Shake Milton,0.9,1.3,6.3,1445697
Shaquille Harrison,0.2,1.0,3.4,898310
Skal Labissière,0.1,2.4,5.8,2338847
Solomon Hill,1.2,0.8,5.7,13258781
Spencer Dinwiddie,1.9,4.9,21.0,10600000
Stanley Johnson,0.1,0.4,1.2,3623000
Stanton Kidd,0.0,0.0,0.0,250000
Stephen Curry,2.3,4.5,20.3,40231758
Sterling Brown,0.8,1.1,5.3,1618520
Steven Adams,0.0,4.4,10.7,25842697
Sviatoslav Mykhailiuk,2.0,0.9,8.9,1416852
T.J. Leaf,0.2,1.0,3.0,2813280
T.J. McConnell,0.1,3.0,6.8,3500000
T.J. Warren,1.1,6.3,18.5,10810000
Taj Gibson,0.1,2.5,5.8,9800000
Talen Horton-Tucker,0.0,0.0,0.0,898310
Taurean Waller-Prince,2.4,2.1,12.4,3481986
Terance Mann,0.1,0.6,1.6,1000000
Terence Davis,1.5,1.5,7.9,898310
Terrance Ferguson,1.0,0.6,4.5,2475840
Terrence Ross,2.2,2.3,13.4,12500000
Terry Rozier,2.6,3.6,17.8,19894737
Thabo Sefolosha,0.4,0.6,2.4,2564753
Thaddeus Young,1.1,2.9,9.7,12900000
Thanasis Antetokounmpo,0.0,0.9,2.0,1445697
Theo Pinson,0.5,1.0,4.2,1445697
Thomas Bryant,0.5,4.7,12.9,7936508
Thon Maker,0.3,1.2,4.7,3569643
Tim Frazier,0.4,0.9,3.6,1882867
Tim Hardaway,2.8,2.4,14.8,18150000
Timothé Luwawu-Cabarrot,0.9,0.8,5.2,654468
Timothé Luwawu-Cabarrot,0.9,0.8,5.2,189602
Tobias Harris,1.8,5.7,19.0,31034483
Tomáš Satoranský,1.1,2.7,10.3,10000000
Tony Bradley,0.0,2.0,4.4,1962360
Tony Snell,1.8,1.1,8.1,11392857
Torrey Craig,0.7,1.2,4.9,2100000
Trae Young,3.5,5.7,29.7,6273000
Treveon Graham,0.6,1.0,4.4,1678854
Treveon Graham,0.6,1.3,5.2,1678854
Treveon Graham,0.4,0.3,2.3,1678854
Trevor Ariza,1.3,1.1,7.0,12200000
Trevor Ariza,1.3,0.7,6.0,12200000
Trevor Ariza,1.4,2.4,10.1,12200000
Trey Burke,0.6,1.7,5.9,2028594
Trey Lyles,0.8,1.2,5.4,5500000
Tristan Thompson,0.1,4.9,12.1,18539130
Troy Brown,0.8,3.2,10.2,3219480
Troy Daniels,1.0,0.5,4.3,2028594
Ty Jerome,0.5,1.0,4.0,2193480
Tyler Cook,0.0,0.6,1.7,101504
Tyler Cook,0.0,0.6,1.7,50000
Tyler Herro,2.2,2.6,13.1,3640200
Tyler Johnson,0.8,1.3,5.7,19245370
Tyson Chandler,0.0,0.5,1.3,2564753
Tyus Jones,0.6,2.3,6.9,8408000
Udonis Haslem,0.0,0.5,2.5,2564753
Victor Oladipo,1.4,2.6,11.1,21000000
Vince Carter,1.0,0.8,5.3,2564753
Vincent Poirier,0.1,0.7,1.9,2505793
Vlatko Čančar,0.1,0.4,1.4,1517981
Wayne Ellington,1.3,0.4,5.1,7804878
Wendell Carter,0.2,4.3,11.7,5201400
Wenyen Gabriel,0.1,0.6,1.8,898310
Wenyen Gabriel,0.1,0.5,1.7,898310
Wenyen Gabriel,0.1,0.7,2.0,898310
Wesley Iwundu,0.5,1.2,5.1,1618520
Wesley Matthews,1.6,0.9,7.5,2564753
Will Barton,1.8,3.9,15.1,12960000
William Howard,0.0,0.0,0.0,50000
Willie Cauley-Stein,0.0,3.3,7.5,2177483
Willie Cauley-Stein,0.0,3.5,7.9,2177483
Willie Cauley-Stein,0.0,2.6,5.6,2177483
Willy Hernangómez,0.2,2.0,5.7,1676735
Wilson Chandler,1.0,1.3,6.2,2564753
Yogi Ferrell,0.5,1.1,4.4,3150000
Zach Collins,1.0,2.0,9.0,4240200
Zach LaVine,3.1,5.7,25.3,19500000
Zach Norvell,0.6,0.0,2.0,50752
Zach Norvell,0.0,0.0,0.0,50752
Zach Norvell,1.0,0.0,3.3,50752
Zhaire Smith,0.0,0.4,1.1,3058800
Zion Williamson,0.4,7.9,22.1,9757440
